PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Title,Embarked,Sex,Cabin_cat
1,0,3,22.0,1,0,7.25,Mr.,S,male,None
2,1,1,38.0,1,0,71.2833,Mrs.,C,female,C
3,1,3,26.0,0,0,7.925,Miss.,S,female,None
4,1,1,35.0,1,0,53.1,Mrs.,S,female,C
5,0,3,35.0,0,0,8.05,Mr.,S,male,None
6,0,3,30.5,0,0,8.4583,Mr.,Q,male,None
7,0,1,54.0,0,0,51.8625,Mr.,S,male,E
8,0,3,2.0,3,1,21.075,Master.,S,male,None
9,1,3,27.0,0,2,11.1333,Mrs.,S,female,None
10,1,2,14.0,1,0,30.0708,Mrs.,C,female,None
11,1,3,4.0,1,1,16.7,Miss.,S,female,G
12,1,1,58.0,0,0,26.55,Miss.,S,female,C
13,0,3,20.0,0,0,8.05,Mr.,S,male,None
14,0,3,39.0,1,5,31.275,Mr.,S,male,None
15,0,3,14.0,0,0,7.8542,Miss.,S,female,None
16,1,2,55.0,0,0,16.0,Mrs.,S,female,None
17,0,3,2.0,4,1,29.125,Master.,Q,male,None
18,1,2,31.5,0,0,13.0,Mr.,S,male,None
19,0,3,31.0,1,0,18.0,Mrs.,S,female,None
20,1,3,28.5,0,0,7.225,Mrs.,C,female,None
21,0,2,35.0,0,0,26.0,Mr.,S,male,None
22,1,2,34.0,0,0,13.0,Mr.,S,male,D
23,1,3,15.0,0,0,8.0292,Miss.,Q,female,None
24,1,1,28.0,0,0,35.5,Mr.,S,male,A
25,0,3,8.0,3,1,21.075,Miss.,S,female,None
26,1,3,38.0,1,5,31.3875,Mrs.,S,female,None
27,0,3,28.5,0,0,7.225,Mr.,C,male,None
28,0,1,19.0,3,2,249.3630053167766,Mr.,S,male,C
29,1,3,35.5,0,0,7.8792,Miss.,Q,female,None
30,0,3,30.5,0,0,7.8958,Mr.,S,male,None
31,0,1,40.0,0,0,27.7208,Noble.,C,male,None
32,1,1,39.5,1,0,146.5208,Mrs.,C,female,B
33,1,3,27.5,0,0,7.75,Miss.,Q,female,None
34,0,2,66.0,0,0,10.5,Mr.,S,male,None
35,0,1,28.0,1,0,82.1708,Mr.,C,male,None
36,0,1,42.0,1,0,52.0,Mr.,S,male,None
37,1,3,29.5,0,0,7.2292,Mr.,C,male,None
38,0,3,21.0,0,0,8.05,Mr.,S,male,None
39,0,3,18.0,2,0,18.0,Miss.,S,female,None
40,1,3,14.0,1,0,11.2417,Miss.,C,female,None
41,0,3,40.0,1,0,9.475,Mrs.,S,female,None
42,0,2,27.0,1,0,21.0,Mrs.,S,female,None
43,0,3,43.5,0,0,7.8958,Mr.,C,male,None
44,1,2,3.0,1,2,41.5792,Miss.,C,female,None
45,1,3,19.0,0,0,7.8792,Miss.,Q,female,None
46,0,3,34.5,0,0,8.05,Mr.,S,male,None
47,0,3,39.5,1,0,15.5,Mr.,Q,male,None
48,1,3,26.5,0,0,7.75,Miss.,Q,female,None
49,0,3,31.5,2,0,21.6792,Mr.,C,male,None
50,0,3,18.0,1,0,17.8,Mrs.,S,female,None
51,0,3,7.0,4,1,39.6875,Master.,S,male,None
52,0,3,21.0,0,0,7.8,Mr.,S,male,None
53,1,1,49.0,1,0,76.7292,Mrs.,C,female,D
54,1,2,29.0,1,0,26.0,Mrs.,S,female,None
55,0,1,65.0,0,1,61.9792,Mr.,C,male,B
56,1,1,19.5,0,0,35.5,Mr.,S,male,C
57,1,2,21.0,0,0,10.5,Miss.,S,female,None
58,0,3,28.5,0,0,7.2292,Mr.,C,male,None
59,1,2,5.0,1,2,27.75,Miss.,S,female,None
60,0,3,11.0,5,2,46.9,Master.,S,male,None
61,0,3,22.0,0,0,7.2292,Mr.,C,male,None
62,1,1,38.0,0,0,80.0,Miss.,S,female,B
63,0,1,45.0,1,0,83.475,Mr.,S,male,C
64,0,3,4.0,3,2,27.9,Master.,S,male,None
65,0,1,29.5,0,0,27.7208,Mr.,C,male,None
66,1,3,35.5,1,1,15.2458,Master.,C,male,None
67,1,2,29.0,0,0,10.5,Mrs.,S,female,F
68,0,3,19.0,0,0,8.1583,Mr.,S,male,None
69,1,3,17.0,4,2,7.925,Miss.,S,female,None
70,0,3,26.0,2,0,8.6625,Mr.,S,male,None
71,0,2,32.0,0,0,10.5,Mr.,S,male,None
72,0,3,16.0,5,2,46.9,Miss.,S,female,None
73,0,2,21.0,0,0,73.5,Mr.,S,male,None
74,0,3,26.0,1,0,14.4542,Mr.,C,male,None
75,1,3,32.0,0,0,56.4958,Mr.,S,male,None
76,0,3,25.0,0,0,7.65,Mr.,S,male,F
77,0,3,29.5,0,0,7.8958,Mr.,S,male,None
78,0,3,26.5,0,0,8.05,Mr.,S,male,None
79,1,2,0.83,0,2,29.0,Master.,S,male,None
80,1,3,30.0,0,0,12.475,Miss.,S,female,None
81,0,3,22.0,0,0,9.0,Mr.,S,male,None
82,1,3,29.0,0,0,9.5,Mr.,S,male,None
83,1,3,36.5,0,0,7.7875,Miss.,Q,female,None
84,0,1,28.0,0,0,47.1,Mr.,S,male,None
85,1,2,17.0,0,0,10.5,Miss.,S,female,None
86,1,3,33.0,3,0,15.85,Mrs.,S,female,None
87,0,3,16.0,1,3,34.375,Mr.,S,male,None
88,0,3,31.5,0,0,8.05,Mr.,S,male,None
89,1,1,23.0,3,2,249.3630053167766,Miss.,S,female,C
90,0,3,24.0,0,0,8.05,Mr.,S,male,None
91,0,3,29.0,0,0,8.05,Mr.,S,male,None
92,0,3,20.0,0,0,7.8542,Mr.,S,male,None
93,0,1,46.0,1,0,61.175,Mr.,S,male,E
94,0,3,26.0,1,2,20.575,Mr.,S,male,None
95,0,3,59.0,0,0,7.25,Mr.,S,male,None
96,0,3,23.5,0,0,8.05,Mr.,S,male,None
97,0,1,71.0,0,0,34.6542,Mr.,C,male,A
98,1,1,23.0,0,1,63.3583,Mr.,C,male,D
99,1,2,34.0,0,1,23.0,Mrs.,S,female,None
100,0,2,34.0,1,0,26.0,Mr.,S,male,None
101,0,3,28.0,0,0,7.8958,Miss.,S,female,None
102,0,3,23.5,0,0,7.8958,Mr.,S,male,None
103,0,1,21.0,0,1,77.2875,Mr.,S,male,D
104,0,3,33.0,0,0,8.6542,Mr.,S,male,None
105,0,3,37.0,2,0,7.925,Mr.,S,male,None
106,0,3,28.0,0,0,7.8958,Mr.,S,male,None
107,1,3,21.0,0,0,7.65,Miss.,S,female,None
108,1,3,35.5,0,0,7.775,Mr.,S,male,None
109,0,3,38.0,0,0,7.8958,Mr.,S,male,None
110,1,3,23.5,1,0,24.15,Miss.,Q,female,None
111,0,1,47.0,0,0,52.0,Mr.,S,male,C
112,0,3,14.5,1,0,14.4542,Miss.,C,female,None
113,0,3,22.0,0,0,8.05,Mr.,S,male,None
