country,year,sex,age,population,gdp_per_capita ($),generation,suicides/100k pop
Albania,1987,male,15-24 years,312900,796,Generation X,6.71
Albania,1987,male,35-54 years,308000,796,Silent,5.19
Albania,1987,female,15-24 years,289700,796,Generation X,4.83
Albania,1987,male,75+ years,21800,796,G.I. Generation,4.59
Albania,1987,male,25-34 years,274300,796,Boomers,3.28
Albania,1987,female,75+ years,35600,796,G.I. Generation,2.81
Albania,1987,female,35-54 years,278800,796,Silent,2.15
Albania,1987,female,25-34 years,257200,796,Boomers,1.56
Albania,1987,male,55-74 years,137500,796,G.I. Generation,0.73
Albania,1987,female,5-14 years,311000,796,Generation X,0
Albania,1987,female,55-74 years,144600,796,G.I. Generation,0
Albania,1987,male,5-14 years,338200,796,Generation X,0
Albania,1988,female,75+ years,36400,769,G.I. Generation,5.49
Albania,1988,male,15-24 years,319200,769,Generation X,5.33
Albania,1988,male,75+ years,22300,769,G.I. Generation,4.48
Albania,1988,male,35-54 years,314100,769,Silent,4.46
Albania,1988,male,55-74 years,140200,769,G.I. Generation,2.85
Albania,1988,female,15-24 years,295600,769,Generation X,2.71
Albania,1988,female,55-74 years,147500,769,G.I. Generation,2.03
Albania,1988,female,25-34 years,262400,769,Boomers,1.91
Albania,1988,male,25-34 years,279900,769,Boomers,1.79
Albania,1988,female,35-54 years,284500,769,Silent,1.41
Albania,1988,female,5-14 years,317200,769,Generation X,0
Albania,1988,male,5-14 years,345000,769,Generation X,0
Albania,1989,male,75+ years,22500,833,G.I. Generation,8.89
Albania,1989,male,25-34 years,283600,833,Boomers,6.35
Albania,1989,male,35-54 years,318400,833,Silent,4.71
Albania,1989,male,55-74 years,142100,833,G.I. Generation,4.22
Albania,1989,male,15-24 years,323500,833,Generation X,3.71
Albania,1989,female,35-54 years,288600,833,Silent,2.43
Albania,1989,female,15-24 years,299900,833,Generation X,1.67
Albania,1989,female,25-34 years,266300,833,Boomers,0.75
Albania,1989,female,55-74 years,149600,833,G.I. Generation,0.67
Albania,1989,female,5-14 years,321900,833,Generation X,0
Albania,1989,female,75+ years,37000,833,G.I. Generation,0
Albania,1989,male,5-14 years,349700,833,Generation X,0
Albania,1992,male,35-54 years,343800,251,Boomers,3.49
Albania,1992,male,15-24 years,263700,251,Generation X,3.41
Albania,1992,male,55-74 years,159500,251,Silent,3.13
Albania,1992,male,25-34 years,245500,251,Boomers,2.85
Albania,1992,female,15-24 years,292400,251,Generation X,2.39
Albania,1992,female,25-34 years,267400,251,Boomers,1.5
Albania,1992,female,35-54 years,323100,251,Boomers,0.62
Albania,1992,female,55-74 years,164900,251,Silent,0.61
Albania,1992,female,5-14 years,336700,251,Millenials,0
Albania,1992,female,75+ years,38700,251,G.I. Generation,0
Albania,1992,male,5-14 years,362900,251,Millenials,0
Albania,1992,male,75+ years,23900,251,G.I. Generation,0
Albania,1993,male,15-24 years,243300,437,Generation X,7.4
Albania,1993,male,55-74 years,165000,437,Silent,4.24
Albania,1993,male,75+ years,24200,437,G.I. Generation,4.13
Albania,1993,male,25-34 years,230100,437,Boomers,3.91
Albania,1993,female,15-24 years,285300,437,Generation X,3.51
Albania,1993,male,35-54 years,350300,437,Boomers,2.85
Albania,1993,female,25-34 years,261800,437,Boomers,2.67
Albania,1993,female,35-54 years,331200,437,Boomers,2.11
Albania,1993,female,55-74 years,169500,437,Silent,1.18
Albania,1993,female,5-14 years,340300,437,Millenials,0.29
Albania,1993,male,5-14 years,367000,437,Millenials,0.27
Albania,1993,female,75+ years,39300,437,G.I. Generation,0
Albania,1994,male,75+ years,24600,697,G.I. Generation,8.13
Albania,1994,male,55-74 years,171400,697,Silent,6.42
Albania,1994,female,75+ years,39900,697,G.I. Generation,5.01
Albania,1994,male,25-34 years,231400,697,Boomers,2.59
Albania,1994,male,35-54 years,362800,697,Boomers,2.48
Albania,1994,male,15-24 years,242200,697,Generation X,2.48
Albania,1994,female,15-24 years,282600,697,Generation X,2.12
Albania,1994,female,25-34 years,261100,697,Boomers,1.53
Albania,1994,female,35-54 years,342500,697,Boomers,0.58
Albania,1994,female,55-74 years,174600,697,Silent,0.57
Albania,1994,male,5-14 years,371800,697,Millenials,0.27
Albania,1994,female,5-14 years,344400,697,Millenials,0
Albania,1995,male,25-34 years,232900,835,Generation X,5.58
Albania,1995,male,55-74 years,178000,835,Silent,5.06
Albania,1995,female,75+ years,40800,835,G.I. Generation,4.9
Albania,1995,female,15-24 years,283500,835,Generation X,4.59
Albania,1995,male,15-24 years,241200,835,Generation X,4.56
Albania,1995,male,75+ years,25100,835,G.I. Generation,3.98
Albania,1995,male,35-54 years,375900,835,Boomers,3.72
Albania,1995,female,25-34 years,264000,835,Generation X,2.65
